make,model,year,engine_fuel_type,engine_hp,engine_cylinders,transmission_type,driven_wheels,number_of_doors,market_category,vehicle_size,vehicle_style,highway_mpg,city_mpg,popularity,msrp,combined_mpg
BMW,1 Series M,2011,premium,335.0,6,MANUAL,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,26,19,3916,46135,22.150000000000002
BMW,1 Series,2011,premium,300.0,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,28,19,3916,40650,23.05
BMW,1 Series,2011,premium,300.0,6,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,36350,23.6
BMW,1 Series,2011,premium,230.0,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,18,3916,29450,22.5
BMW,1 Series,2011,premium,230.0,6,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,28,18,3916,34500,22.5
BMW,1 Series,2012,premium,230.0,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,18,3916,31200,22.5
BMW,1 Series,2012,premium,300.0,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,26,17,3916,44100,21.050000000000004
BMW,1 Series,2012,premium,300.0,6,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,39300,23.6
BMW,1 Series,2012,premium,230.0,6,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,28,18,3916,36900,22.5
BMW,1 Series,2013,premium,230.0,6,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,27,18,3916,37200,22.05
BMW,1 Series,2013,premium,300.0,6,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,39600,23.6
BMW,1 Series,2013,premium,230.0,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,19,3916,31500,23.05
BMW,1 Series,2013,premium,300.0,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,28,19,3916,44400,23.05
BMW,1 Series,2013,premium,230.0,6,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,28,19,3916,37200,23.05
BMW,1 Series,2013,premium,230.0,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,19,3916,31500,23.05
BMW,1 Series,2013,premium,320.0,6,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,25,18,3916,48250,21.15
BMW,1 Series,2013,premium,320.0,6,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,43550,23.6
Audi,100,1992,regular,172.0,6,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,20.150000000000002
Audi,100,1992,regular,172.0,6,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,20.150000000000002
Audi,100,1992,regular,172.0,6,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,20,16,3105,2000,17.8
Audi,100,1992,regular,172.0,6,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,20.150000000000002
Audi,100,1992,regular,172.0,6,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,21,16,3105,2000,18.25
Audi,100,1993,regular,172.0,6,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,20.150000000000002
Audi,100,1993,regular,172.0,6,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,20,16,3105,2000,17.8
Audi,100,1993,regular,172.0,6,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,20.150000000000002
Audi,100,1993,regular,172.0,6,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,20.150000000000002
Audi,100,1993,regular,172.0,6,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,21,16,3105,2000,18.25
Audi,100,1994,regular,172.0,6,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Wagon,21,16,3105,2000,18.25
Audi,100,1994,regular,172.0,6,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,22,16,3105,2000,18.700000000000003
Audi,100,1994,regular,172.0,6,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,22,17,3105,2000,19.25
Audi,100,1994,regular,172.0,6,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Sedan,22,16,3105,2000,18.700000000000003
Audi,100,1994,regular,172.0,6,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,21,16,3105,2000,18.25
FIAT,124 Spider,2017,premium,160.0,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,27495,30.05
FIAT,124 Spider,2017,premium,160.0,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,24995,30.05
FIAT,124 Spider,2017,premium,160.0,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,28195,30.05
Mercedes-Benz,190-Class,1991,regular,130.0,4,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000,21.6
Mercedes-Benz,190-Class,1991,regular,158.0,6,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000,20.6
Mercedes-Benz,190-Class,1992,regular,158.0,6,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000,20.6
Mercedes-Benz,190-Class,1992,regular,130.0,4,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000,21.6
Mercedes-Benz,190-Class,1993,regular,130.0,4,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000,21.6
Mercedes-Benz,190-Class,1993,regular,158.0,6,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000,20.6
BMW,2 Series,2016,premium,240.0,4,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,23,3916,32850,28.4
BMW,2 Series,2016,premium,240.0,4,AUTOMATIC,rear wheel drive,2.0,Luxury,Compact,Convertible,34,23,3916,38650,27.950000000000003
BMW,2 Series,2016,premium,320.0,6,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,31,20,3916,48750,24.950000000000003
BMW,2 Series,2016,premium,240.0,4,AUTOMATIC,all wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,23,3916,34850,28.4
BMW,2 Series,2016,premium,240.0,4,AUTOMATIC,all wheel drive,2.0,Luxury,Compact,Convertible,34,22,3916,40650,27.400000000000002
BMW,2 Series,2016,premium,320.0,6,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,20,3916,44150,24.950000000000003
BMW,2 Series,2016,premium,240.0,4,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,34,22,3916,32850,27.400000000000002
BMW,2 Series,2016,premium,320.0,6,AUTOMATIC,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,30,20,3916,46150,24.5
BMW,2 Series,2016,premium,320.0,6,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,30,20,3916,50750,24.5
BMW,2 Series,2017,premium,335.0,6,AUTOMATIC,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,21,3916,46450,25.5
BMW,2 Series,2017,premium,335.0,6,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,49050,25.950000000000003
BMW,2 Series,2017,premium,335.0,6,AUTOMATIC,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,51050,25.950000000000003
BMW,2 Series,2017,premium,335.0,6,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,32,21,3916,44450,25.950000000000003
BMW,2 Series,2017,premium,248.0,4,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,34,23,3916,38950,27.950000000000003
BMW,2 Series,2017,premium,248.0,4,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,24,3916,33150,28.950000000000003
BMW,2 Series,2017,premium,248.0,4,AUTOMATIC,all wheel drive,2.0,"Luxury,Performance",Compact,Coupe,33,24,3916,35150,28.05
BMW,2 Series,2017,premium,248.0,4,AUTOMATIC,all wheel drive,2.0,Luxury,Compact,Convertible,33,23,3916,40950,27.5
Audi,200,1990,regular,162.0,5,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Sedan,20,16,3105,2000,17.8
Audi,200,1990,regular,162.0,5,MANUAL,all wheel drive,4.0,Luxury,Midsize,Wagon,22,15,3105,2000,18.15
Audi,200,1990,regular,162.0,5,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,23,15,3105,2000,18.6
Audi,200,1991,regular,217.0,5,MANUAL,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,22,16,3105,2000,18.700000000000003
Audi,200,1991,regular,217.0,5,MANUAL,all wheel drive,4.0,"Luxury,Performance",Midsize,Wagon,22,16,3105,2000,18.700000000000003
Audi,200,1991,regular,162.0,5,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Sedan,20,16,3105,2000,17.8
Chrysler,200,2015,flex_regular,184.0,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25170,28.85
Chrysler,200,2015,flex_regular,184.0,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,23950,28.85
Chrysler,200,2015,flex_regular,295.0,6,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,29370,22.950000000000003
Chrysler,200,2015,flex_regular,184.0,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995,28.85
Chrysler,200,2015,flex_regular,184.0,4,AUTOMATIC,front wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,36,23,1013,26625,28.85
Chrysler,200,2015,flex_regular,295.0,6,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,30825,22.950000000000003
Chrysler,200,2016,flex_regular,184.0,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995,28.85
Chrysler,200,2016,flex_regular,184.0,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27795,28.85
Chrysler,200,2016,flex_regular,295.0,6,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,31785,22.950000000000003
Chrysler,200,2016,flex_regular,295.0,6,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,29905,22.950000000000003
